,date,time,title,image_link,address,event_url,continuous
72,20-04-2024,9:30AM,Irving Penn,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18164386/526fce1b-fd0b-4b26-9816-e127f7a59dce.jpg',50 Hagiwara Tea Garden Drive,http://sf-events.brokeassstuart.com/events/2024/3/16/irving-penn-tickets,Through Jul 21
73,20-04-2024,4:00PM,The Taylor Crawl: A Taylor Swift-Inspired Pub Crawl,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18990606/f3b6cc49-bc72-4ccf-a228-91ea6d57a9b0.jpg',2125 Lombard Street,http://sf-events.brokeassstuart.com/events/2024/4/20/the-taylor-crawl-a-taylor-swift-themed-event-in-san-francisco-tickets,
74,20-04-2024,9:00PM,White Denim,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18027343/d5e72962-cfd9-4bc3-ba7b-9d254f6c1f4e.jpg',859 O'farrell Street,http://sf-events.brokeassstuart.com/events/2024/4/20/white-denim-tickets,
75,20-04-2024,8:00PM,Bill Maher,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18626880/b13b31e9-92ef-40fd-805e-3d01a3a84322.jpg',,http://sf-events.brokeassstuart.com/events/2024/4/20/bill-maher-the-wtf-tour-tickets,
76,20-04-2024,10:00PM,"Floating Points, Avalon Emerson, MOZHGAN",'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18954800/1dfe5831-19dc-4196-94e6-65fa11581cdb.png',,http://sf-events.brokeassstuart.com/events/2024/4/20/floating-points-avalon-emerson-mozhgan-tickets,
77,20-04-2024,9:00PM,Steve Angello,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18620450/2e28fc5a-a592-4155-8a33-1b67a34ff92d.jpg',900 Marin St.,http://sf-events.brokeassstuart.com/events/2024/4/20/steve-angello-tickets,
78,20-04-2024,10:00PM,Taylor Rave,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/17735050/8727a5cb-169b-4d2e-b642-dab73d9eca7f.jpg',420 Mason Street,http://sf-events.brokeassstuart.com/events/2024/4/20/taylor-rave-tickets,
79,20-04-2024,9:00PM,Sainte Vie & Xinobi,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18727181/38d0606b-6a1d-407d-9b78-06eb928bcef8.jpg',161 Erie Street,http://sf-events.brokeassstuart.com/events/2024/4/20/sainte-vie-xinobi-tickets,
80,20-04-2024,8:00PM,Inna,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/16974872/9f5979a1-69f9-42e4-b29d-cf5976bda24a.jpg',"2036 University Ave, Berkeley",http://sf-events.brokeassstuart.com/events/2024/4/20/inna-tickets,
81,20-04-2024,"7:30PM
              
                (doors)",Bit City Comedy at Mr. Bing's,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18662321/d8e3c375-1acb-43f1-ad01-3c1af5dee64c.jpg',"201 Columbus Ave, San Francisco, CA 94133",http://sf-events.brokeassstuart.com/events/weekly/sat/live-comedy-in-the-attic-tickets,
